"","year","Cause_Rev","Ggap"
"1",1979,"Cancer",0.265194163739701
"2",1979,"CVD",0.272146108582744
"3",1980,"Cancer",0.260077807542932
"4",1980,"CVD",0.270671453917725
"5",1981,"Cancer",0.257100801994561
"6",1981,"CVD",0.269709624694067
"7",1982,"Cancer",0.254524807894046
"8",1982,"CVD",0.26943645913419
"9",1983,"Cancer",0.256068055394741
"10",1983,"CVD",0.268535224708567
"11",1984,"Cancer",0.256138344552831
"12",1984,"CVD",0.267250537350963
"13",1985,"Cancer",0.258429959983796
"14",1985,"CVD",0.267025167982436
"15",1986,"Cancer",0.265848286704541
"16",1986,"CVD",0.266548906792867
"17",1987,"Cancer",0.304228832928777
"18",1987,"CVD",0.266323579147203
"19",1988,"Cancer",0.306024898692615
"20",1988,"CVD",0.265210870803361
"21",1989,"Cancer",0.323498658769203
"22",1989,"CVD",0.264574247673106
"23",1990,"Cancer",0.329464485487921
"24",1990,"CVD",0.264641467513421
"25",1991,"Cancer",0.333722038390344
"26",1991,"CVD",0.263833162181991
"27",1992,"Cancer",0.336911590375506
"28",1992,"CVD",0.26324560327826
"29",1993,"Cancer",0.335673264919085
"30",1993,"CVD",0.262779725934297
"31",1994,"Cancer",0.337106985340765
"32",1994,"CVD",0.261604361938877
"33",1995,"Cancer",0.333224278777087
"34",1995,"CVD",0.260588718928142
"35",1996,"Cancer",0.312882803970096
"36",1996,"CVD",0.260392204676159
"37",1997,"Cancer",0.281175276159714
"38",1997,"CVD",0.259567689781743
"39",1998,"Cancer",0.272488066454949
"40",1998,"CVD",0.259401000172168
"41",1999,"Cancer",0.269149993653214
"42",1999,"CVD",0.259513994612952
"43",2000,"Cancer",0.267713459752085
"44",2000,"CVD",0.258155413940379
"45",2001,"Cancer",0.268002923448764
"46",2001,"CVD",0.258742909850856
"47",2002,"Cancer",0.266790489315162
"48",2002,"CVD",0.258651429992483
"49",2003,"Cancer",0.263349790551728
"50",2003,"CVD",0.258107116913037
"51",2004,"Cancer",0.263276676596542
"52",2004,"CVD",0.258493806243682
"53",2005,"Cancer",0.261714185898399
"54",2005,"CVD",0.259154709502421
"55",2006,"Cancer",0.259909163454517
"56",2006,"CVD",0.258526334410174
"57",2007,"Cancer",0.257670420124404
"58",2007,"CVD",0.259739199823247
"59",2008,"Cancer",0.255029907937457
"60",2008,"CVD",0.26070212844243
"61",2009,"Cancer",0.256653297243015
"62",2009,"CVD",0.261040651236033
"63",2010,"Cancer",0.256060233156416
"64",2010,"CVD",0.261455575425487
"65",2011,"Cancer",0.253334293275106
"66",2011,"CVD",0.261592361779935
"67",2012,"Cancer",0.256016824463839
"68",2012,"CVD",0.261958302333245
"69",2013,"Cancer",0.256215237157169
"70",2013,"CVD",0.262704492525286
"71",2014,"Cancer",0.256335867291685
"72",2014,"CVD",0.262940126748834
"73",2015,"Cancer",0.257530187750653
"74",2015,"CVD",0.263209461173064
"75",2016,"Cancer",0.258142723389748
"76",2016,"CVD",0.262929814879532
"77",2017,"Cancer",0.255527619131271
"78",2017,"CVD",0.263013656474506
"79",2018,"Cancer",0.256996495165203
"80",2018,"CVD",0.263226242897801
