country,year,sex,list,cause,cdr
USA,1979,1,short,0,9578
USA,1979,1,short,1,92
USA,1979,1,short,2,2090
USA,1979,1,short,3,26
USA,1979,1,short,4,181
USA,1979,1,short,5,77
USA,1979,1,short,6,117
USA,1979,1,short,7,3651
USA,1979,1,short,8,662
USA,1979,1,short,9,247
USA,1979,1,short,10,160
USA,1979,1,short,11,442
USA,1979,1,short,12,367
USA,1979,1,short,13,33
USA,1979,1,short,14,136
USA,1979,1,short,15,225
USA,1979,1,short,16,1073
USA,1980,1,short,0,9747
USA,1980,1,short,1,100
USA,1980,1,short,2,2125
USA,1980,1,short,3,26
USA,1980,1,short,4,188
USA,1980,1,short,5,83
USA,1980,1,short,6,122
USA,1980,1,short,7,3691
USA,1980,1,short,8,654
USA,1980,1,short,9,247
USA,1980,1,short,10,184
USA,1980,1,short,11,478
USA,1980,1,short,12,377
USA,1980,1,short,13,34
USA,1980,1,short,14,139
USA,1980,1,short,15,223
USA,1980,1,short,16,1076
USA,1981,1,short,0,9550
USA,1981,1,short,1,103
USA,1981,1,short,2,2125
USA,1981,1,short,3,26
USA,1981,1,short,4,184
USA,1981,1,short,5,83
USA,1981,1,short,6,125
USA,1981,1,short,7,3602
USA,1981,1,short,8,618
USA,1981,1,short,9,236
USA,1981,1,short,10,180
USA,1981,1,short,11,487
USA,1981,1,short,12,362
USA,1981,1,short,13,34
USA,1981,1,short,14,138
USA,1981,1,short,15,210
USA,1981,1,short,16,1035
USA,1982,1,short,0,9387
USA,1982,1,short,1,106
USA,1982,1,short,2,2161
USA,1982,1,short,3,27
USA,1982,1,short,4,185
USA,1982,1,short,5,80
USA,1982,1,short,6,125
USA,1982,1,short,7,3543
USA,1982,1,short,8,585
USA,1982,1,short,9,230
USA,1982,1,short,10,163
USA,1982,1,short,11,484
USA,1982,1,short,12,348
USA,1982,1,short,13,34
USA,1982,1,short,14,140
USA,1982,1,short,15,205
USA,1982,1,short,16,974
USA,1983,1,short,0,9437
USA,1983,1,short,1,116
USA,1983,1,short,2,2179
USA,1983,1,short,3,33
USA,1983,1,short,4,190
USA,1983,1,short,5,85
USA,1983,1,short,6,139
USA,1983,1,short,7,3544
USA,1983,1,short,8,576
USA,1983,1,short,9,229
