country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1979,1,short,4,0,1044958,25996.86,4599.64,3185.33,3770.06,15570.7,21086.34,18359.86,16035.9,16323.62,20769.87,32386.51,53862.78,78844.59,103507.45,129103.19,140141.42,132245.71,110131.57,119036.63,75233.98,43802.65,33774.8,10027.86,8723.46,1304.39
USA,1979,1,short,4,1,10025.31,445.89,217.87,58.76,57.28,97.5,117.98,137.72,157.57,173.42,223.55,366.72,525.64,722.58,898.25,1152.73,1236.73,1258.24,1030.12,1146.77,718.11,428.66,330.05,98.61,84.15,14.45
USA,1979,1,short,4,2,227975.39,89.92,368.91,491.9,474.25,756.92,933.56,1145.92,1402.05,2028.49,3617.02,7345.82,14521.72,22706.22,30496.13,37087.93,37049.25,30356.41,20998.54,16104.43,11545.66,4558.77,3772.61,786.16,717.27,68.88
USA,1979,1,short,4,3,2855.24,92.35,84.11,30.13,41.91,56.46,82.98,73.92,66.67,80.57,77.6,83.07,120.74,197.3,216.29,264.9,318.94,298.69,313.99,354.62,215.79,138.83,105.88,32.95,29.91,3.03
USA,1979,1,short,4,4,19740.6,223.73,96.55,66.33,85.35,111.11,162.61,211.22,244.85,316.2,433.39,611.04,1007.74,1549.02,2048.99,2601.03,2798.29,2713.23,2228.98,2230.92,1425.56,805.37,637.06,168.31,137.41,30.9
USA,1979,1,short,4,5,8399.79,7.18,21.17,26.25,14.63,94.88,196.43,321.33,371.41,357.89,466.89,527.04,654.88,685.97,663.18,627.07,608.87,661.87,901.2,1191.65,701.96,489.69,376,113.69,94.19,19.51
USA,1979,1,short,4,6,12721.36,595.07,362.98,182.22,179.52,380.27,341.64,305.32,303.74,300.97,336.73,438.48,664.68,903.27,1143.39,1428.24,1495.16,1479.68,1003.03,876.97,629.88,247.09,190.81,56.28,45.85,10.43
USA,1979,1,short,4,7,398266.57,304.85,131.87,54.06,83.21,230.43,444.37,728.04,1367.53,2848.94,5764.53,11452.99,20918.23,32761.29,43621.99,54388.86,59899.03,57672.91,48992.2,56601.26,34910.01,21691.25,16588.32,5102.92,4408.61,694.31
USA,1979,1,short,4,8,72244.02,74.66,24.96,25.81,33.78,59.82,132.9,196.7,280.05,444.21,703.64,1150.08,2009.94,3173.95,4968.82,7551.82,10714.57,12601.5,12726.26,15370.55,9622.52,5748.03,4477.65,1270.38,1121.32,149.06
USA,1979,1,short,4,9,26946.76,19.66,6.25,1.81,7.48,31.23,39.28,69.43,93.93,139.48,205.53,364.43,725.93,1288.11,2167.6,3287.76,4130.25,4295.47,4199.07,5874.06,3307.99,2566.08,1843.83,722.25,617.51,104.74
USA,1979,1,short,4,10,17408.19,574.17,186.34,65.87,46.64,71.83,87.13,125.29,151.31,196.48,217.96,300.57,519.29,730.96,932.08,1383.68,1885.21,2271.84,3004.59,4656.97,2680.28,1976.68,1459.79,516.89,436.86,80.03
USA,1979,1,short,4,11,48225.4,286.32,108.04,37.64,51.29,88.27,132.26,150.86,162.79,207.7,344.41,685.36,1447.47,2804.84,5035.31,7571.29,9211.46,8529.27,6344.63,5026.18,3457.38,1568.8,1236.85,331.94,298.96,32.98
USA,1979,1,short,4,12,40033.12,303.32,69.82,22.26,30.56,57.13,174.21,457.66,849.87,1329.66,1950.41,2805.15,4008.4,4620.62,4841.42,5007.47,4302.13,3553.18,2726.35,2923.51,1891.81,1031.7,803.4,228.3,202.97,25.32
USA,1979,1,short,4,13,3607.77,19.86,15.48,8.48,12.02,24.25,27.88,31.47,54.58,48.9,61.14,104.98,186.57,240.84,352.71,474.76,478.83,529.62,411.99,523.41,321.35,202.06,154.74,47.32,44.19,3.13
USA,1979,1,short,4,14,14829.55,168.92,24.22,18.52,20.96,38.31,61.29,100.75,116.17,126.95,187.22,248.21,422.4,641.93,993.66,1517.81,1973.52,2418.94,2506.55,3243.22,1961.51,1281.71,990.32,291.4,258.42,32.98
USA,1979,1,short,4,15,24596.36,22000.07,592.39,159.69,160.97,217.9,183.55,142.22,109.17,115.21,85.54,109.08,123.39,120.58,103.77,106.13,107.35,72.81,44.1,42.45,22.6,19.85,15.44,4.41,2.52,1.89
