country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
USA,1979,1,short,4,0,14757,711,368,399,1438,1998,1936,1912,2451,3679,5953,9568,14451,22590,33318,50596,72713,110799,186011,161994,249558,233145,327116,320565,378901
USA,1979,1,short,4,1,253,34,7,6,9,11,15,19,26,40,67,93,132,196,297,446,692,1036,1792,1546,2442,2278,3217,3092,4198
USA,1979,1,short,4,2,51,57,57,50,70,88,121,167,305,641,1350,2579,4162,6656,9571,13376,16691,21126,25165,24860,25973,26042,25645,26358,20009
USA,1979,1,short,4,3,52,13,3,4,5,8,8,8,12,14,15,21,36,47,68,115,164,316,554,465,791,731,1075,1099,881
USA,1979,1,short,4,4,127,15,8,9,10,15,22,29,47,77,112,179,284,447,671,1010,1492,2242,3486,3070,4588,4398,5490,5050,8976
USA,1979,1,short,4,5,4,3,3,2,9,19,34,44,54,83,97,116,126,145,162,220,364,907,1862,1511,2790,2596,3709,3461,5666
USA,1979,1,short,4,6,338,56,21,19,35,32,32,36,45,60,81,118,166,250,369,540,814,1009,1370,1356,1408,1317,1836,1685,3029
USA,1979,1,short,4,7,173,20,6,9,21,42,77,163,428,1021,2105,3716,6005,9520,14036,21625,31710,49289,88447,75168,123582,114508,166461,162005,201685
USA,1979,1,short,4,8,42,4,3,4,6,13,21,33,67,125,211,357,582,1084,1949,3868,6929,12803,24019,20719,32748,30909,41441,41206,43300
USA,1979,1,short,4,9,11,1,0,1,3,4,7,11,21,36,67,129,236,473,848,1491,2362,4225,9179,7123,14620,12728,23560,22692,30425
USA,1979,1,short,4,10,326,29,8,5,7,8,13,18,30,39,55,92,134,203,357,681,1249,3023,7277,5771,11262,10077,16861,16053,23247
USA,1979,1,short,4,11,163,17,4,5,8,13,16,19,31,61,126,257,514,1099,1954,3326,4690,6383,7854,7444,8938,8538,10828,10986,9581
USA,1979,1,short,4,12,172,11,3,3,5,17,48,101,200,346,516,712,847,1057,1292,1553,1954,2743,4568,4073,5878,5546,7447,7459,7356
USA,1979,1,short,4,13,11,2,1,1,2,3,3,7,7,11,19,33,44,77,123,173,291,414,818,692,1151,1068,1544,1624,909
USA,1979,1,short,4,14,96,4,2,2,4,6,11,14,19,33,46,75,118,217,392,713,1330,2522,5068,4224,7302,6836,9506,9496,9580
USA,1979,1,short,4,15,12488,92,18,17,20,17,15,13,17,15,20,22,22,23,27,39,40,44,66,49,113,107,144,93,548
USA,1979,1,short,4,16,449,354,223,262,1224,1703,1493,1229,1143,1080,1065,1067,1044,1096,1200,1420,1942,2716,4484,3922,5971,5467,8353,8206,9511
USA,1980,1,short,4,0,14227,722,353,383,1423,2030,1950,1939,2441,3621,5843,9454,14651,22209,33819,50675,74129,113510,194391,168259,262358,243075,351925,342412,427350
USA,1980,1,short,4,1,243,34,9,5,9,10,14,16,30,37,61,101,154,208,326,504,712,1167,2123,1792,2984,2726,4182,3935,6137
USA,1980,1,short,4,2,60,60,59,49,68,99,122,169,308,645,1336,2553,4289,6627,9735,13326,17053,21356,25794,25125,27534,27545,27481,27685,25867
USA,1980,1,short,4,3,47,12,5,2,4,7,7,10,10,12,14,24,29,45,69,109,177,314,554,483,737,651,1137,1037,1930
USA,1980,1,short,4,4,122,15,11,9,8,13,21,34,50,70,109,182,296,439,691,1044,1564,2318,3776,3308,4992,4511,7223,6846,10207
USA,1980,1,short,4,5,5,4,1,2,6,19,39,45,65,74,111,127,136,145,176,242,391,941,2107,1737,3069,2866,4014,3897,4937
USA,1980,1,short,4,6,309,65,21,21,35,36,30,36,49,55,75,121,170,249,377,604,849,1155,1462,1352,1747,1671,2101,2073,2326
USA,1980,1,short,4,7,178,26,7,10,26,44,73,158,421,999,2015,3617,5979,9192,14131,21490,31957,50513,91855,77837,128315,118364,174538,169795,212141
USA,1980,1,short,4,8,43,4,3,3,7,15,19,33,59,118,196,350,547,1024,1904,3703,6867,12703,23760,20327,32688,30162,44421,43290,53384
USA,1980,1,short,4,9,10,0,1,1,2,4,6,11,20,36,67,126,243,477,844,1450,2352,4178,9127,7191,14162,12362,22520,21312,32105
